Nom commune,LivingArea,Price,Refnis code,€/m2
Aalter,39639.0,123578882,31005.0,3117.608466409344
Aarschot,30630.0,88912466,57081.0,2902.790270976167
Aartselaar,15878.0,44579600,31004.0,2807.633203174203
Affligem,18227.0,49674848,38008.0,2725.344159762989
Aiseau-Presles,9180.0,13253013,71022.0,1443.6833333333334
Alken,6262.0,13192530,21015.0,2106.7598211434047
Alost,143901.0,354691159,12029.0,2464.82761759821
Alveringem,8895.0,17456814,23088.0,1962.5423271500842
Amay,13860.0,21562233,46025.0,1555.7166666666667
Amblève,3990.0,11670492,35011.0,2924.9353383458647
Andenne,25111.0,38985932,11039.0,1552.543984707897
Anderlecht,121694.0,338928046,46025.0,2785.0842769569576
Anderlues,10843.0,16517396,35011.0,1523.3234344738541
Anhée,4199.0,11139000,33011.0,2652.7744701119314
Ans,34214.0,81747065,53053.0,2389.286987782779
Anthisnes,2881.0,5394500,93090.0,1872.4401249566122
Antoing,8521.0,18163536,51067.0,2131.620232367093
Anvers,594659.0,2022380092,11013.0,3400.90722918513
Anzegem,26956.0,73546119,25072.0,2728.376576643419
Ardooie,15828.0,43023015,55085.0,2718.1586429112963
Arendonk,14955.0,32512070,11002.0,2173.9933132731526
Arlon,41597.0,118724327,38008.0,2854.1559968266943
As,1648.0,2926129,11002.0,1775.563713592233
Asse,47849.0,147388759,23002.0,3080.2892223452945
Assenede,16272.0,41484893,23002.0,2549.4649090462144
Assesse,3066.0,9843000,23002.0,3210.371819960861
Ath,44362.0,94654982,23002.0,2133.6950994094045
Attert,3648.0,9912500,23002.0,2717.2423245614036
Aubange,22591.0,51809500,23002.0,2293.3690407684476
Aubel,4091.0,8492216,23002.0,2075.8288926912737
Audenarde,66893.0,165951384,23002.0,2480.8482800890974
Auderghem,36207.0,181613300,23002.0,5015.972049603668
Avelgem,24207.0,58453143,11002.0,2414.720659313422
Awans,8466.0,15788136,57081.0,1864.8873139617292
Aywaille,16876.0,39767638,57081.0,2356.461128229438
Baelen,1970.0,5410694,62063.0,2746.5451776649747
Baerle-Duc,2789.0,8772747,52015.0,3145.481176048763
Balen,25296.0,62571765,72043.0,2473.583372865275
Bassenge,14535.0,25078875,72043.0,1725.4127966976264
Bastogne,19054.0,57871000,72043.0,3037.2100346383963
Beaumont,6673.0,10974618,72043.0,1644.630301213847
Beauraing,11804.0,21338000,72043.0,1807.6923076923076
Beauvechain,9661.0,23177900,72043.0,2399.1201738950417
Beernem,14097.0,48162061,72043.0,3416.475916861744
Beerse,21254.0,56856482,72043.0,2675.095605533076
Beersel,26378.0,74014643,72043.0,2805.9232314807796
Begijnendijk,9349.0,25255539,72043.0,2701.416087282062
Bekkevoort,8843.0,22201128,72043.0,2510.587809566889
Beloeil,16369.0,24537866,72043.0,1499.0449019488058
Berchem-Sainte-Agathe,33924.0,108240836,53053.0,3190.686121919585
Beringen,52562.0,127970345,63020.0,2434.6551691335944
Berlaar,9616.0,34455689,57064.0,3583.162333610649
Berlare,27250.0,74158342,41018.0,2721.4070458715596
Berloz,6722.0,11715405,58001.0,1742.845135376376
Bernissart,10692.0,24228000,46024.0,2265.993265993266
Bertem,6901.0,20126787,21008.0,2916.5029705839734
Bertogne,2696.0,6378816,52011.0,2366.0296735905044
Bertrix,10933.0,24565400,21001.0,2246.903869020397
Beveren,63727.0,183185930,21001.0,2874.5418739309866
Beyne-Heusay,9740.0,17432634,21001.0,1789.7981519507186
Bierbeek,12821.0,45877340,21008.0,3578.2965447313004
Bilzen,20069.0,50023294,21008.0,2492.565349544073
Binche,36724.0,70783332,73083.0,1927.4406927349962
Bièvre,4068.0,8700500,38008.0,2138.765978367748
Biévène,2421.0,6587500,63073.0,2720.9830648492357
Blankenberge,84755.0,294746203,83012.0,3477.6261341513773
Blegny,25314.0,58745710,35013.0,2320.680651023149
Bocholt,9527.0,20931817,34041.0,2197.1047549071063
Boechout,18882.0,61586706,34022.0,3261.662217985383
